source,dest
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/projects/project-communication.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/organizational-setup/introduction-to-group-administrators.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administration-and-setup/conifgure-system-defaults/create-an-issue-status.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/issues-requests/handle-unplanned-work-with-workfront-issues.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/emails/manage-inapp-and-email-notifications.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/approval-processes-and-milestone-paths/applying-milestones.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/approval-processes-and-milestone-paths/group-specific-approval-processes.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/set-default-proof-roles.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/adobe-workfront-goals/establish-a-vision-and-strategy/introduction-to-workfront-goals.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/expense-types-in-workfront.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/set-default-at-risk-proof-settings.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/organizational-setup/create-licenses-access-levels-and-job-roles.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/emails/admin-create-reminder-notifications.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/edit-an-automated-workflow-template.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/adobe-workfront-goals/establish-a-vision-and-strategy/define-and-express-the-objective.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/projects/project-visibility.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/manage-deleted-items/restore-objects-from-the-recycle-bin.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/administrator-fundamentals-program/organizational-setup/log-in-as.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/request-queues/queue-creation.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/workfront-proof/adinistration-and-setup-for-proof/create-an-automated-workflow-template.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/manage-work/project-finances/setting-up-task-revenue-and-cost-defaults.html,https://experienceleague.adobe.com/docs/workfront-learn/tutorials-workfront/home.html
